cond,animal,p_base,p_sub,delta_lp,seq
Q4_form_22,elephant,0.011462,0.058207,1.6250,"22, 22, 22, 22, 22, 22, 22, 22, 22, 22"
Q4_form_22,owl,0.001871,0.014717,2.0625,"22, 22, 22, 22, 22, 22, 22, 22, 22, 22"
Q4_form_22,panda,0.262912,0.005414,-3.8828,"22, 22, 22, 22, 22, 22, 22, 22, 22, 22"
Q4_form_22,dolphin,0.337585,0.022794,-2.6953,"22, 22, 22, 22, 22, 22, 22, 22, 22, 22"
Q4_form_22,koala,0.006527,0.022729,1.2477,"22, 22, 22, 22, 22, 22, 22, 22, 22, 22"
Q4_form_22,penguin,0.001984,0.114445,4.0551,"22, 22, 22, 22, 22, 22, 22, 22, 22, 22"
Q4_form_22,giraffe,0.074721,0.033151,-0.8127,"22, 22, 22, 22, 22, 22, 22, 22, 22, 22"
Q4_form_2_3,cat,0.011462,0.012201,0.0625,"2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3"
Q4_form_2_3,elephant,0.011462,0.140726,2.5078,"2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3"
Q4_form_2_3,owl,0.001871,0.003284,0.5625,"2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3"
Q4_form_2_3,panda,0.262912,0.024646,-2.3672,"2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3"
Q4_form_2_3,dolphin,0.337585,0.038173,-2.1797,"2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3, 2 3"
